Line  1740
  13:38:21.00  6.368721 4 2.170 47.096 51.736 13.382 2.759 2.743 7.071 10.196 5.813 2.343 2.971 6.779 9.187 5.752 1.511 0.553 1.255 2.857 3.631 3.565 3.208 2.877 2.698 2.654 2.668 -5.465 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.686 0.9133749 0.0768395 0.0266157 0.2010593 0.6525290 0.5054520 0.2407761 0.1599032 0.3027015 0.4931882 0.3272524 0.1334182 0.0632555 0.0471337 0.0422500 0.2464135 0.2012540 0.0603822 0.0134450 0.0028232 0.0003899 0.0000833 0.0000500 0.0000115 0.0000006 0.5499447 
  13:38:21.60  5.999825 4 2.277 55.037 58.242 13.255 2.497 3.024 9.036 12.756 6.186 2.007 3.054 8.564 12.070 7.333 1.795 0.442 0.932 2.280 3.025 3.120 2.981 2.812 2.703 2.666 2.667 -5.704 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.678 0.9159746 0.0748275 0.0276630 0.2141327 0.6859535 0.4898593 0.2045118 0.1398297 0.3082724 0.5627179 0.3235531 0.1083590 0.0474392 0.0420382 0.0219303 0.2526570 0.2309983 0.0585758 0.0093135 0.0014292 0.0001792 0.0000660 0.0000302 0.0000050 0.0000002 0.5637261 
  13:38:22.20  5.835484 5 2.562 67.311 49.120 7.407 2.565 4.865 9.306 8.926 4.575 2.298 3.814 9.883 14.332 11.277 4.939 0.864 0.566 1.403 2.397 2.730 2.785 2.726 2.647 2.601 2.591 -6.469 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.598 0.8995987 0.0738706 0.0534942 0.3615901 0.6311724 0.3582454 0.2009899 0.2035147 0.3724005 0.5269251 0.3270172 0.1144014 0.0495893 0.0409851 0.0199095 0.0585564 0.2929699 0.1204037 0.0192423 0.0023720 0.0002573 0.0000791 0.0000337 0.0000054 0.0000002 0.5139142 
  13:38:22.80  6.325686 4 3.005 68.851 29.981 3.228 3.678 10.228 10.766 4.632 2.532 3.422 5.412 7.161 8.133 5.787 2.160 0.724 0.723 1.371 2.259 2.852 3.033 2.967 2.857 2.796 2.780 -3.547 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.788 0.8706717 0.0810095 0.1129704 0.6708919 0.4681473 0.2121226 0.1927021 0.3669350 0.4997917 0.3803048 0.2544178 0.1546777 0.0918267 0.0589063 0.0247462 0.1784358 0.2652912 0.1000502 0.0155261 0.0016913 0.0001887 0.0000742 0.0000306 0.0000049 0.0000002 0.3963178 
  13:38:23.40  6.405016 6 3.145 57.389 26.155 2.509 4.224 14.253 16.537 5.247 1.823 3.456 6.592 7.224 6.382 3.433 0.955 0.470 0.631 1.327 2.258 2.816 2.943 2.863 2.764 2.712 2.700 -2.694 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.707 0.8671464 0.0897927 0.1342899 0.7386500 0.4605655 0.1666382 0.1286020 0.3330601 0.5984022 0.3618103 0.2175751 0.1583607 0.1207410 0.0571243 0.0381976 0.3064561 0.2188377 0.0390514 0.0028123 0.0002461 0.0000736 0.0000317 0.0000074 0.0000006 0.0000001 0.3902092 
  13:38:24.10  5.794672 5 3.424 32.361 17.295 2.692 4.575 13.743 15.503 5.142 2.103 4.283 8.411 8.946 6.753 4.486 3.201 2.266 1.198 0.778 1.225 2.237 2.926 3.046 2.949 2.859 2.821 -1.297 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.824 0.8370900 0.1338199 0.2153281 0.7071019 0.4538087 0.1753826 0.1508091 0.3631959 0.5694202 0.3342694 0.1867164 0.1609773 0.1796601 0.1648542 0.1053774 0.0780621 0.0980487 0.1722953 0.0632245 0.0062302 0.0003810 0.0000919 0.0000404 0.0000076 0.0000004 0.3444216 
  13:38:24.70  5.278513 5 3.599 17.025 12.159 3.493 3.936 9.299 11.487 4.987 2.356 4.459 9.177 10.176 7.004 4.315 3.629 3.714 2.608 1.118 0.806 1.448 2.433 2.866 2.876 2.792 2.740 -0.579 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.733 0.7954552 0.2147650 0.3037782 0.5991326 0.5018766 0.2386324 0.1995828 0.3599582 0.5383024 0.3311360 0.1737234 0.1495322 0.1995874 0.2220887 0.1554477 0.0994357 0.0574074 0.0765645 0.0999378 0.0203145 0.0010255 0.0001073 0.0000480 0.0000101 0.0000005 0.3093928 
  13:38:25.20  4.499096 10 5.954 5.874 8.140 7.209 4.438 3.863 5.615 5.693 3.790 4.210 6.796 7.251 5.128 3.937 4.078 4.690 4.612 2.176 0.539 0.643 1.759 2.816 3.023 2.940 2.852 0.605 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.827 0.6503550 0.5504251 0.3934042 0.3688500 0.4894921 0.4624438 0.3477766 0.2988235 0.4091911 0.3528633 0.2204444 0.2100342 0.2757117 0.2807529 0.2059768 0.1244735 0.0571073 0.0127201 0.0699017 0.0227669 0.0007922 0.0000724 0.0000209 0.0000027 0.0000001 0.1376190 
  13:38:25.90  3.947394 10 6.727 6.093 5.020 8.858 5.751 2.430 6.094 11.475 5.732 2.470 4.193 7.128 7.139 5.313 3.171 2.273 1.509 0.566 0.601 1.546 2.565 2.800 2.725 2.631 2.589 -0.495 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.590 0.6361560 0.5329574 0.5424337 0.3411154 0.4278946 0.6310377 0.3005513 0.1648000 0.2903239 0.5205705 0.3268321 0.2099736 0.1759478 0.1766699 0.1670388 0.1097052 0.0403345 0.1302971 0.0559955 0.0034483 0.0001624 0.0000537 0.0000121 0.0000010 0.0000001 0.1259574 
  13:38:26.50  4.556740 10 6.920 6.766 4.051 8.153 4.914 2.450 7.064 9.741 3.299 2.386 5.726 6.788 4.149 2.677 2.029 1.061 0.266 0.443 1.489 2.463 2.645 2.544 2.435 2.384 2.375 -1.420 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.382 0.6465506 0.5042474 0.6311741 0.3588673 0.4724843 0.6337821 0.2642055 0.1929429 0.4321214 0.4912909 0.2416890 0.1957942 0.2707628 0.2472735 0.1343024 0.0294393 0.2070688 0.0589559 0.0021396 0.0001240 0.0000386 0.0000088 0.0000009 0.0000001 0.0000000 0.1257840 
