Line  1740
  13:38:21.00  6.330325 6 1.922 80.227 18.391 4.055 1.544 2.510 5.329 1.847 0.631 2.462 0.384 0.052 0.490 2.980 3.759 2.423 1.438 1.048 0.952 0.965 0.991 1.001 1.001 1.000 1.000 -7.605 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.9134232 0.0727577 0.1068108 0.5090079 0.6285714 0.4189372 0.2296532 0.4152980 0.7360402 0.2175564 0.3174811 0.6844808 0.0800803 0.0015532 0.0001142 0.0000601 0.0000288 0.0000087 0.0000027 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.5736478 
  13:38:21.60  5.959038 6 1.994 131.477 25.353 3.772 1.349 4.641 7.320 1.246 0.686 4.327 0.289 0.043 0.260 2.162 3.588 2.447 1.506 1.102 0.977 0.970 0.989 0.999 1.001 1.000 1.000 -7.747 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.9211462 0.0669121 0.1015369 0.5840474 0.7238281 0.2336175 0.1689882 0.5617632 0.7097624 0.1744074 0.3368380 0.5794694 0.0749452 0.0018364 0.0000498 0.0000195 0.0000118 0.0000051 0.0000013 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.5731708 
  13:38:22.20  6.493748 10 2.175 126.894 23.439 2.797 1.888 3.821 3.864 1.629 0.641 2.968 0.498 0.034 0.280 2.507 3.629 2.336 1.399 1.044 0.960 0.970 0.992 1.001 1.001 1.000 1.000 -8.000 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.9156882 0.0682227 0.1012191 0.6481165 0.5945743 0.3321824 0.2919368 0.4874630 0.7317404 0.2000816 0.2522878 0.5714067 0.0621247 0.0009795 0.0000295 0.0000142 0.0000088 0.0000035 0.0000008 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.5690896 
  13:38:22.80  6.338035 6 2.564 53.983 10.388 1.710 4.364 6.323 1.716 0.829 1.231 1.803 0.101 0.018 0.314 1.953 2.799 2.217 1.437 1.062 0.961 0.969 0.991 1.000 1.001 1.000 1.000 -5.635 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8665516 0.1049354 0.2299088 0.7616400 0.3160809 0.2674094 0.5336046 0.6394688 0.4841131 0.2199931 0.3599871 0.0761326 0.0154006 0.0000421 0.0000023 0.0000009 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4502908 
  13:38:23.40  6.397800 6 2.695 31.176 5.350 1.472 7.687 7.868 0.848 0.839 0.868 0.205 0.017 0.033 0.391 1.667 2.622 2.207 1.456 1.073 0.965 0.969 0.991 1.000 1.001 1.000 1.000 -5.122 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8453314 0.1585627 0.4414962 0.7910102 0.2041950 0.1939408 0.6953188 0.6199088 0.4702509 0.4109416 0.4901483 0.0310520 0.0005153 0.0000039 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3924158 
  13:38:24.10  5.790165 6 2.936 23.811 5.939 1.671 6.893 7.689 1.403 0.941 1.072 0.999 0.092 0.010 0.172 1.225 2.140 2.080 1.467 1.093 0.975 0.972 0.991 1.000 1.001 1.000 1.000 -3.298 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8245844 0.1882199 0.4605247 0.7650065 0.2268488 0.2186500 0.6165029 0.6064473 0.5451674 0.3395663 0.4319465 0.0616518 0.0158774 0.0000067 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3586989 
  13:38:24.70  5.280701 6 2.835 19.723 5.764 1.815 4.939 5.541 1.279 1.067 1.162 0.634 0.097 0.010 0.133 0.987 1.790 1.901 1.435 1.100 0.984 0.975 0.991 1.000 1.001 1.000 1.000 -2.452 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8264417 0.1935457 0.4344764 0.7207666 0.3124288 0.2835790 0.6087571 0.5698043 0.4883312 0.4592907 0.4485829 0.0642860 0.0155604 0.0000065 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3934372 
  13:38:25.20  4.523105 6 3.309 7.758 4.926 3.152 2.508 2.087 2.153 1.229 0.808 0.541 0.101 0.010 0.088 0.688 1.317 1.619 1.377 1.112 1.000 0.982 0.992 0.999 1.000 1.000 1.000 -0.540 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7565944 0.3649909 0.4684074 0.5356462 0.5133429 0.5304278 0.4080780 0.5478743 0.5603649 0.4977954 0.4598098 0.0608261 0.0153251 0.0000051 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3048350 
  13:38:25.90  4.041080 6 3.395 6.029 3.580 3.218 1.571 2.369 1.570 0.556 0.715 0.092 0.010 0.026 0.211 0.715 1.597 1.882 1.466 1.120 0.992 0.977 0.991 0.999 1.001 1.000 1.000 -1.784 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7501561 0.4172613 0.5676070 0.5153407 0.6381241 0.4464212 0.5019494 0.6642213 0.5346099 0.4894186 0.2736485 0.0345353 0.0000295 0.0000004 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3045238 
  13:38:26.50  4.650752 5 3.578 6.128 3.042 3.090 1.813 2.187 1.380 0.655 0.637 0.106 0.010 0.024 0.174 0.716 1.862 2.170 1.566 1.132 0.985 0.972 0.990 0.999 1.001 1.000 1.000 -2.323 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7536728 0.4233965 0.6174923 0.5386580 0.5964752 0.4871306 0.5368584 0.6226937 0.5803640 0.5136817 0.3591264 0.0394909 0.0000332 0.0000004 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3142969 
