Line  1740
  13:38:21.00  6.376673 4 2.213 39.776 46.576 13.460 3.046 2.730 6.526 10.521 7.143 2.836 2.771 6.697 11.177 9.324 3.413 0.838 0.975 2.616 4.344 4.675 4.275 3.755 3.395 3.242 3.225 -5.360 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.268 0.9070917 0.0816878 0.0302446 0.2017458 0.6259720 0.5156032 0.2634363 0.1508859 0.2548643 0.4613750 0.3763584 0.1540521 0.0600081 0.0436808 0.0381978 0.1189218 0.2216776 0.1011913 0.0260668 0.0068487 0.0014937 0.0001992 0.0000638 0.0000336 0.0000058 0.5442979 
  13:38:21.60  6.009737 4 2.333 45.256 50.218 13.277 2.811 2.964 8.238 13.155 7.850 2.539 2.789 8.367 15.146 13.329 5.286 1.025 0.693 1.883 3.550 4.016 3.849 3.566 3.357 3.258 3.238 -5.575 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.260 0.9086844 0.0800171 0.0316734 0.2147470 0.6560181 0.5127183 0.2272402 0.1264843 0.2508719 0.5206898 0.3929304 0.1365128 0.0449348 0.0331614 0.0270408 0.0588338 0.2473657 0.1288411 0.0299111 0.0062913 0.0011158 0.0001409 0.0000575 0.0000250 0.0000035 0.5533049 
  13:38:22.20  5.836427 4 2.628 55.670 44.328 7.568 2.708 5.059 9.420 9.219 4.957 2.588 4.072 10.280 16.722 15.978 9.616 3.015 0.936 1.258 2.523 3.361 3.497 3.408 3.294 3.216 3.186 -6.354 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.194 0.8914530 0.0790645 0.0615683 0.3706101 0.6127672 0.3482079 0.2090749 0.2126957 0.3681128 0.5046015 0.3120347 0.1135544 0.0472437 0.0366225 0.0371532 0.0333158 0.1355736 0.1560733 0.0694124 0.0190616 0.0037528 0.0004254 0.0000883 0.0000460 0.0000085 0.4978589 
  13:38:22.80  6.326896 4 3.064 60.663 31.753 3.421 3.645 10.926 11.792 5.555 2.713 3.511 6.414 9.145 10.276 9.370 5.483 2.042 1.080 1.514 2.473 3.230 3.622 3.698 3.601 3.493 3.441 -3.391 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.445 0.8665086 0.0844690 0.1142642 0.6639715 0.4740791 0.2028750 0.1845659 0.3466036 0.4986121 0.3896491 0.2315750 0.1394090 0.0939395 0.0663523 0.0457140 0.0674779 0.1827269 0.1490882 0.0606377 0.0147368 0.0024066 0.0002569 0.0000737 0.0000362 0.0000066 0.3848833 
  13:38:23.40  6.406619 5 3.204 55.567 28.052 2.739 3.890 15.977 19.727 7.503 2.120 3.064 7.621 11.061 10.966 8.276 3.636 1.219 0.923 1.466 2.292 3.011 3.490 3.662 3.622 3.531 3.475 -2.500 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.472 0.8641240 0.0897659 0.1325918 0.7219463 0.5099449 0.1547667 0.0981626 0.2696480 0.5915900 0.4325642 0.2074072 0.1066730 0.0805354 0.0647093 0.0345724 0.1099593 0.2496676 0.1495557 0.0411807 0.0068800 0.0007985 0.0001085 0.0000537 0.0000185 0.0000022 0.3783802 
  13:38:24.10  5.796579 5 3.451 32.649 18.662 2.815 4.323 14.938 17.859 6.540 2.178 4.169 9.609 11.450 9.452 6.860 5.083 3.987 2.948 1.990 1.632 2.056 2.925 3.528 3.648 3.563 3.482 -1.175 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.458 0.8384896 0.1299160 0.2037541 0.7012242 0.4888277 0.1678492 0.1266761 0.3119096 0.5880005 0.3545874 0.1746662 0.1327854 0.1522925 0.1581931 0.1223555 0.0954569 0.0904228 0.0782091 0.0890082 0.0423568 0.0072660 0.0006308 0.0000884 0.0000435 0.0000104 0.3430595 
  13:38:24.70  5.278315 5 3.634 16.977 12.510 3.648 3.844 9.652 12.509 5.815 2.426 4.459 10.046 11.989 9.242 6.164 4.954 5.088 5.003 3.531 1.918 1.516 2.139 3.053 3.491 3.524 3.452 -0.489 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.397 0.7949674 0.2143954 0.3004580 0.5904157 0.5195303 0.2338436 0.1847487 0.3304746 0.5506387 0.3409390 0.1664424 0.1330933 0.1731123 0.2056595 0.1651939 0.1114191 0.0778918 0.0436811 0.0491807 0.0564778 0.0152005 0.0012620 0.0000976 0.0000450 0.0000121 0.3067985 
  13:38:25.20  4.496844 10 6.443 5.745 7.850 7.851 4.695 3.760 5.771 6.231 4.115 4.296 6.984 8.106 6.369 5.080 5.280 6.341 7.193 6.277 2.973 1.019 1.116 2.330 3.430 3.694 3.628 0.533 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.505 0.6373985 0.5614851 0.4070735 0.3512383 0.4800254 0.4796355 0.3461865 0.2856191 0.3922770 0.3657480 0.2286205 0.2011653 0.2483687 0.2595084 0.1952264 0.1218438 0.0660824 0.0281430 0.0105104 0.0486113 0.0197826 0.0011370 0.0000643 0.0000272 0.0000051 0.1267347 
  13:38:25.90  3.942643 10 7.173 6.383 4.709 10.138 6.783 2.360 6.442 13.293 7.352 2.769 4.091 8.336 10.081 8.860 6.701 4.756 3.836 3.056 1.715 1.220 1.883 2.942 3.406 3.407 3.317 -0.515 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.264 0.6297435 0.5223912 0.5815833 0.3153276 0.3921009 0.6605030 0.2933587 0.1455830 0.2478642 0.5222686 0.3619883 0.2042839 0.1443481 0.1382057 0.1337415 0.1162007 0.0787679 0.0367893 0.0586230 0.0634581 0.0120842 0.0006098 0.0000859 0.0000349 0.0000057 0.1171519 
  13:38:26.50  4.549507 10 7.388 7.314 3.887 9.494 5.971 2.384 7.495 12.462 5.041 2.484 5.688 9.870 8.554 6.273 5.290 4.619 3.259 1.447 0.755 1.350 2.627 3.268 3.282 3.158 3.078 -1.382 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.066 0.6422127 0.4875969 0.6647745 0.3303951 0.4360428 0.6646024 0.2600112 0.1615099 0.3333057 0.5451937 0.2711541 0.1635690 0.1769907 0.1983250 0.1459771 0.0850561 0.0441718 0.0461554 0.1400725 0.0373531 0.0019023 0.0001235 0.0000553 0.0000150 0.0000012 0.1138915 
  13:38:27.00  4.769212 10 8.042 8.999 3.086 11.188 7.442 1.942 7.383 14.593 5.970 2.086 4.110 8.124 8.541 6.513 3.465 1.641 1.016 0.869 1.644 2.975 3.534 3.378 3.119 2.984 2.953 -2.174 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.972 0.6469211 0.4485867 0.7566544 0.3029061 0.3955745 0.7319666 0.2502190 0.1366643 0.2884268 0.5820630 0.3380715 0.1852215 0.1302719 0.1153707 0.0840987 0.0588354 0.1314573 0.2172412 0.0592986 0.0050689 0.0003801 0.0000896 0.0000432 0.0000099 0.0000006 0.0951806 
  13:38:27.80  3.513723 10 8.563 11.702 2.446 17.645 11.927 1.418 7.944 21.442 8.439 1.405 2.581 7.611 8.863 3.179 0.429 0.535 1.261 2.322 3.220 3.473 3.285 3.020 2.862 2.816 2.820 -3.803 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.834 0.6573157 0.4009179 0.8381872 0.2294037 0.2943377 0.8270949 0.2115695 0.0879256 0.2138148 0.6836211 0.4338751 0.1498803 0.0519658 0.0183692 0.2189017 0.4396789 0.1218679 0.0152798 0.0018532 0.0002453 0.0000536 0.0000267 0.0000089 0.0000012 0.0000001 0.0782974 
  13:38:28.40  2.740044 10 6.885 9.630 2.512 15.695 10.195 1.461 6.392 16.557 7.652 1.643 2.449 6.875 8.923 3.612 0.562 0.604 1.375 2.186 2.694 2.920 2.929 2.837 2.752 2.716 2.712 -4.676 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.719 0.6697877 0.4241021 0.7866547 0.2409532 0.3119339 0.7858940 0.2324399 0.1074402 0.2319187 0.6133310 0.4263858 0.1547388 0.0537906 0.0210165 0.1345041 0.4222937 0.1534699 0.0261669 0.0041233 0.0005460 0.0000920 0.0000448 0.0000147 0.0000017 0.0000001 0.1162018 
  13:38:29.00  2.254845 10 8.203 14.031 2.253 21.288 20.809 1.587 3.882 15.024 13.735 3.763 1.739 4.621 9.415 8.269 2.957 0.914 0.985 1.480 2.141 2.816 3.096 3.014 2.863 2.783 2.767 -4.679 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.779 0.6670461 0.3332131 0.8614419 0.1463981 0.1618747 0.7835837 0.3938515 0.1303966 0.1353836 0.3934691 0.5816782 0.2403848 0.0804148 0.0553327 0.0453595 0.0769736 0.2378946 0.1388731 0.0281520 0.0032800 0.0003053 0.0000963 0.0000444 0.0000080 0.0000003 0.0675973 
  13:38:29.60  2.064505 10 7.948 12.417 2.316 16.204 17.589 1.826 3.337 12.881 14.342 5.296 2.030 3.768 7.973 8.484 4.554 1.794 1.267 1.468 1.993 2.745 3.224 3.232 3.073 2.966 2.935 -3.167 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.947 0.6584851 0.3360835 0.8329920 0.1661065 0.1760940 0.7286868 0.4471798 0.1480834 0.1117344 0.2899678 0.5437948 0.3016298 0.1219880 0.0744998 0.0779339 0.0549099 0.0933164 0.1497845 0.0616878 0.0103874 0.0010033 0.0001292 0.0000689 0.0000201 0.0000015 0.0644009 
