Line  1740
  13:38:21.00  4.853661 6 2.403 49.279 36.432 6.544 2.567 4.460 8.133 8.401 4.603 2.180 3.336 7.990 11.022 7.455 1.880 0.504 1.355 3.300 3.966 3.731 3.267 2.886 2.690 2.645 2.662 -5.782 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.683 0.8883438 0.0789978 0.0588420 0.3570630 0.5958616 0.3533280 0.2053724 0.1913969 0.3292233 0.5082651 0.3384739 0.1200481 0.0465986 0.0309810 0.0233649 0.3138394 0.1842556 0.0362098 0.0065561 0.0014189 0.0002134 0.0000540 0.0000311 0.0000069 0.0000003 0.4547889 
  13:38:21.60  4.561172 5 2.525 58.128 41.518 6.501 2.417 5.011 10.241 10.078 4.624 1.995 3.615 9.554 13.138 9.086 2.575 0.477 0.845 2.202 3.017 3.096 2.954 2.793 2.689 2.652 2.653 -6.012 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.663 0.8881046 0.0764772 0.0615260 0.3860263 0.6185795 0.3202898 0.1657540 0.1800323 0.3578465 0.5482791 0.3067606 0.0984497 0.0408662 0.0332156 0.0134951 0.2138038 0.2474502 0.0611160 0.0084168 0.0012183 0.0001582 0.0000611 0.0000266 0.0000042 0.0000002 0.4501502 
  13:38:22.20  4.474197 6 2.790 75.230 45.564 5.082 2.512 7.148 12.881 9.590 3.735 2.091 4.535 11.726 16.027 12.501 5.430 0.897 0.543 1.439 2.493 2.774 2.798 2.735 2.659 2.615 2.606 -6.780 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.613 0.8807127 0.0729006 0.0710672 0.4813815 0.6169925 0.2499701 0.1279106 0.1985131 0.4219525 0.5496172 0.2896162 0.0900601 0.0395569 0.0338778 0.0171974 0.0456064 0.2972859 0.1075608 0.0146604 0.0017042 0.0001967 0.0000663 0.0000269 0.0000041 0.0000002 0.4096138 
  13:38:22.80  5.014470 5 3.123 70.237 31.144 3.071 3.407 11.173 13.926 6.129 2.344 2.819 5.391 7.839 9.074 6.418 2.003 0.592 0.700 1.416 2.286 2.859 3.049 3.000 2.900 2.839 2.822 -3.742 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.829 0.8628392 0.0792469 0.1082484 0.6659624 0.5061232 0.1862445 0.1277879 0.2862997 0.5281395 0.4244837 0.2547770 0.1339527 0.0759760 0.0490250 0.0131944 0.1984011 0.2575041 0.0758385 0.0090838 0.0008437 0.0001191 0.0000561 0.0000197 0.0000027 0.0000001 0.3400045 
  13:38:23.40  5.154673 8 3.202 56.100 26.392 2.503 3.942 14.449 18.989 6.914 1.796 2.900 6.555 8.146 7.632 3.950 0.902 0.461 0.655 1.324 2.228 2.810 2.968 2.906 2.810 2.756 2.743 -2.768 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.749 0.8599837 0.0883974 0.1286889 0.7235264 0.4842744 0.1559047 0.0909170 0.2509764 0.6128536 0.4091282 0.2191049 0.1274196 0.0919087 0.0475877 0.0325776 0.3048570 0.1998741 0.0344572 0.0024023 0.0002123 0.0000683 0.0000282 0.0000063 0.0000005 0.0000001 0.3460602 
  13:38:24.10  4.692106 6 3.489 29.859 16.020 2.771 4.497 12.754 14.535 5.582 2.251 3.907 7.625 8.620 7.247 5.231 3.518 2.351 1.311 0.831 1.186 2.158 2.907 3.072 2.987 2.894 2.853 -1.328 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.855 0.8265241 0.1378536 0.2187866 0.6832064 0.4497740 0.1776529 0.1422830 0.3218615 0.5486980 0.3534213 0.2010492 0.1601843 0.1628096 0.1473146 0.0995812 0.0702605 0.0853140 0.1572755 0.0658867 0.0069652 0.0003959 0.0000910 0.0000401 0.0000077 0.0000004 0.3044553 
  13:38:24.70  4.286880 6 3.741 16.417 11.013 3.509 4.206 8.878 10.042 4.852 2.604 4.393 8.217 9.098 6.947 4.844 3.998 3.821 2.789 1.267 0.817 1.392 2.400 2.887 2.913 2.829 2.773 -0.680 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.765 0.7831202 0.2222061 0.3203552 0.5812733 0.4711174 0.2382662 0.2092573 0.3511627 0.5025172 0.3313320 0.1870079 0.1618858 0.1952845 0.2024689 0.1467390 0.0938167 0.0540190 0.0613327 0.0967583 0.0218729 0.0010944 0.0001066 0.0000488 0.0000103 0.0000005 0.2635887 
  13:38:25.20  3.645103 10 6.106 6.399 7.486 6.321 4.816 4.434 4.806 4.683 4.312 5.107 6.301 5.829 4.658 4.438 4.804 4.923 4.274 2.058 0.630 0.756 1.842 2.819 3.015 2.938 2.855 0.461 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.831 0.6514740 0.5127661 0.4207644 0.3908755 0.4552695 0.4081162 0.3798777 0.3407334 0.3600742 0.2965307 0.2334115 0.2544251 0.2895337 0.2415192 0.1652087 0.1056206 0.0522031 0.0136284 0.0754975 0.0258144 0.0010300 0.0000835 0.0000286 0.0000044 0.0000002 0.1223698 
  13:38:25.90  3.178038 10 6.504 6.647 4.985 7.623 5.805 2.765 5.054 9.054 5.954 3.019 3.758 5.923 7.035 6.392 4.148 2.564 1.612 0.741 0.680 1.524 2.539 2.827 2.770 2.677 2.633 -0.472 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.632 0.6473301 0.4931803 0.5431968 0.3575803 0.4084102 0.5647360 0.3475160 0.1947687 0.2739838 0.4495609 0.3566807 0.2454340 0.1730580 0.1408757 0.1270543 0.0900854 0.0383565 0.1203294 0.0715503 0.0060555 0.0002251 0.0000746 0.0000209 0.0000022 0.0000001 0.1196373 
  13:38:26.50  3.658015 10 6.413 7.333 4.133 6.881 5.085 2.756 5.633 7.982 3.906 2.705 4.663 5.743 4.728 3.676 2.575 1.336 0.382 0.406 1.307 2.398 2.660 2.579 2.467 2.411 2.399 -1.254 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.406 0.6632492 0.4621618 0.6160966 0.3829123 0.4409294 0.5653182 0.3153600 0.2172800 0.3709499 0.4519705 0.2867965 0.2342010 0.2348680 0.1878512 0.1125841 0.0262199 0.1640363 0.0719929 0.0040835 0.0001966 0.0000672 0.0000180 0.0000021 0.0000001 0.0000000 0.1272303 
  13:38:27.00  3.903049 10 6.900 8.154 3.315 7.841 5.587 2.184 5.544 9.187 4.002 2.090 3.480 4.962 4.616 2.464 0.876 0.378 0.432 1.365 2.541 2.775 2.602 2.417 2.329 2.311 2.316 -1.976 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.322 0.6605871 0.4421995 0.6978926 0.3551273 0.4257353 0.6410374 0.2968695 0.1885670 0.3529137 0.5046953 0.3404541 0.2295558 0.1662691 0.1020556 0.0273629 0.2637941 0.1942722 0.0196539 0.0006130 0.0001028 0.0000445 0.0000127 0.0000015 0.0000001 0.0000000 0.1122952 
  13:38:27.80  2.969855 10 7.541 9.924 2.601 12.290 7.912 1.535 6.478 15.794 5.516 1.326 2.875 6.631 5.497 0.983 0.302 0.569 1.456 2.480 2.890 2.749 2.491 2.327 2.274 2.275 2.285 -3.511 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.289 0.6613630 0.4075109 0.7871854 0.2724531 0.3580335 0.7677307 0.2358598 0.1185077 0.2713288 0.6512028 0.3603219 0.1397108 0.0754478 0.0360048 0.4224544 0.2634102 0.0428152 0.0037030 0.0004201 0.0000736 0.0000320 0.0000122 0.0000021 0.0000001 0.0000000 0.0889515 
  13:38:28.40  2.436497 8 5.679 8.157 2.815 9.755 5.861 1.671 5.202 11.224 4.556 1.562 2.657 5.561 5.067 0.994 0.345 0.637 1.386 2.107 2.437 2.435 2.318 2.221 2.181 2.177 2.181 -4.243 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.183 0.6876807 0.4122902 0.6958992 0.3067795 0.4122123 0.6832317 0.2659210 0.1575302 0.3199261 0.5598123 0.3668945 0.1525229 0.0672683 0.0251084 0.3910902 0.2628409 0.0478000 0.0049607 0.0005573 0.0000944 0.0000426 0.0000141 0.0000019 0.0000001 0.0000000 0.1509201 
  13:38:29.00  2.070034 10 5.551 7.594 2.930 9.215 6.361 1.763 4.304 10.687 6.988 2.434 1.998 3.856 5.651 2.809 0.798 0.484 0.740 1.474 2.170 2.372 2.290 2.179 2.125 2.114 2.117 -3.572 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.119 0.6736623 0.4189848 0.6892217 0.2913462 0.3504530 0.6712586 0.3092732 0.1383239 0.2119845 0.4539273 0.4690134 0.2412126 0.1028563 0.0610468 0.0361763 0.3029312 0.1718077 0.0214632 0.0014071 0.0001779 0.0000744 0.0000233 0.0000029 0.0000002 0.0000000 0.1283783 
  13:38:29.60  1.824688 10 6.946 9.201 2.529 11.238 10.522 1.840 3.565 10.953 10.210 3.693 1.968 3.609 6.315 4.825 1.887 0.859 0.716 1.110 1.932 2.468 2.494 2.368 2.283 2.258 2.258 -2.840 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.263 0.6522210 0.3838277 0.7574970 0.2321696 0.2443217 0.6750933 0.3800122 0.1456963 0.1479056 0.3497269 0.5028496 0.2776132 0.1205676 0.0870465 0.0547017 0.0685960 0.2375824 0.0888036 0.0089314 0.0005659 0.0001257 0.0000583 0.0000123 0.0000008 0.0000001 0.0776517 
  13:38:30.20  2.172833 10 4.702 9.736 2.861 8.445 8.130 2.228 3.763 9.699 9.514 4.291 2.489 3.784 6.542 6.533 3.694 1.792 1.305 1.448 1.982 2.507 2.619 2.476 2.354 2.315 2.317 -4.412 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.324 0.7098945 0.3050883 0.6878714 0.2786078 0.2736678 0.5887372 0.3579157 0.1561058 0.1574562 0.3164981 0.4422999 0.2825559 0.1322756 0.0883046 0.0845667 0.0561051 0.0867944 0.1213216 0.0443594 0.0066048 0.0005547 0.0001195 0.0000593 0.0000096 0.0000003 0.1297114 
  13:38:30.80  2.412788 10 4.422 7.781 3.362 8.206 8.045 2.206 3.482 9.020 10.663 5.957 2.849 2.750 4.046 4.528 3.443 2.201 1.543 1.578 2.264 2.976 3.062 2.794 2.585 2.520 2.524 -3.236 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.540 0.6939442 0.3416723 0.6059739 0.2750167 0.2578676 0.5783277 0.3703204 0.1595822 0.1234470 0.2267052 0.3876424 0.3454666 0.2116782 0.1426829 0.1165520 0.0654382 0.0560826 0.0918527 0.0398755 0.0070378 0.0007460 0.0001006 0.0000582 0.0000149 0.0000008 0.1344759 
  13:38:31.50  2.204670 10 4.251 6.291 4.003 7.706 5.942 2.347 4.598 9.934 9.374 4.865 3.050 3.940 6.056 6.851 5.160 2.934 1.669 1.296 1.569 2.187 2.611 2.682 2.619 2.565 2.547 -2.358 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.550 0.6806137 0.3849795 0.5176114 0.2923327 0.3100761 0.5597345 0.2955760 0.1409505 0.1558850 0.2918903 0.3959218 0.2903140 0.1579429 0.0971122 0.0800685 0.0566135 0.0394670 0.1014015 0.0635475 0.0110180 0.0008094 0.0001143 0.0000612 0.0000125 0.0000005 0.1360886 
  13:38:32.10  2.682646 10 4.429 5.452 4.101 7.246 5.308 2.505 4.581 8.265 7.103 4.256 3.388 3.946 4.562 4.282 3.248 2.287 1.829 1.835 2.211 2.663 2.847 2.785 2.682 2.633 2.626 -1.661 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.633 0.6550451 0.4324696 0.4964412 0.2968330 0.3274458 0.5276183 0.2954529 0.1676822 0.1966731 0.3025824 0.3326788 0.2617190 0.1858214 0.1455425 0.1262066 0.0854621 0.0555368 0.0690516 0.0395942 0.0090722 0.0010339 0.0001213 0.0000626 0.0000158 0.0000008 0.1211854 
  13:38:32.60  2.413034 10 5.494 4.802 3.885 7.512 5.381 2.534 4.612 8.376 7.389 4.502 3.423 3.609 4.042 4.360 4.027 2.620 1.242 0.929 1.625 2.658 3.022 2.911 2.753 2.678 2.664 -0.789 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.674 0.6155803 0.5006075 0.5102337 0.2931779 0.3330835 0.5348307 0.3015604 0.1662620 0.1889469 0.2957284 0.3451751 0.3026548 0.2246909 0.1440213 0.0880581 0.0419589 0.0512986 0.1341249 0.0431765 0.0038364 0.0002452 0.0000756 0.0000371 0.0000066 0.0000003 0.0960245 
  13:38:33.30  1.955495 10 5.612 4.981 3.815 6.764 4.807 2.709 5.183 8.899 6.971 3.776 3.243 4.582 5.949 5.423 3.445 1.906 1.246 1.182 1.696 2.423 2.786 2.793 2.707 2.651 2.634 -0.718 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.639 0.6186047 0.4947130 0.5213594 0.3214509 0.3660719 0.5169592 0.2802534 0.1591852 0.2105001 0.3482347 0.3642310 0.2478727 0.1482754 0.1060763 0.0850415 0.0541639 0.0845524 0.1279286 0.0426222 0.0048994 0.0003531 0.0000981 0.0000448 0.0000076 0.0000003 0.0933769 
  13:38:33.90  1.936337 10 5.222 5.095 3.780 6.618 4.800 2.534 4.769 8.611 7.340 4.068 3.219 4.465 5.502 4.150 2.527 2.166 2.228 1.952 1.879 2.222 2.573 2.674 2.641 2.601 2.585 -0.898 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.586 0.6294984 0.4862169 0.5251285 0.3277525 0.3632982 0.5303367 0.2975044 0.1645171 0.1963259 0.3182488 0.3502965 0.2354345 0.1570183 0.1570751 0.1755211 0.1163339 0.0609337 0.0637598 0.0407716 0.0096719 0.0010009 0.0001260 0.0000568 0.0000125 0.0000007 0.1019720 
  13:38:34.40  1.799545 10 4.082 5.734 3.558 5.068 3.807 2.760 5.165 7.551 4.721 2.319 2.795 4.833 4.170 1.407 0.720 1.154 1.820 2.395 2.828 2.927 2.780 2.607 2.521 2.505 2.513 -1.518 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.520 0.6719962 0.4262965 0.5370663 0.3830432 0.4015167 0.4821524 0.2627793 0.1794736 0.2717533 0.4273193 0.3153565 0.1381724 0.0761837 0.0767677 0.2228032 0.2310429 0.1076240 0.0288133 0.0053998 0.0006892 0.0001195 0.0000701 0.0000226 0.0000023 0.0000001 0.1380948 
  13:38:35.10  1.644926 10 3.950 6.957 3.457 4.586 4.601 3.034 4.145 6.780 6.404 3.691 2.659 3.472 4.208 2.828 1.423 1.078 1.241 1.824 2.581 2.930 2.813 2.592 2.470 2.443 2.451 -1.639 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.460 0.6931840 0.3786089 0.5632804 0.4149474 0.3647213 0.4562440 0.3314166 0.2030350 0.2124760 0.3139324 0.3701516 0.2481001 0.1457137 0.1173225 0.1029867 0.1216670 0.1621624 0.0683030 0.0125950 0.0015294 0.0001835 0.0000822 0.0000319 0.0000041 0.0000002 0.1468128 
  13:38:35.70  2.558534 4 2.413 14.521 9.597 2.724 2.629 4.794 6.812 7.198 5.188 2.886 2.483 3.430 4.159 2.857 1.247 0.746 0.975 1.735 2.497 2.762 2.671 2.521 2.439 2.419 2.423 -0.794 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.429 0.8182971 0.1733342 0.2396045 0.5974356 0.4854956 0.3218763 0.1981471 0.1911263 0.2714812 0.3731411 0.3739865 0.2514514 0.1427133 0.0933837 0.0656856 0.1682401 0.1872803 0.0501374 0.0063526 0.0006406 0.0001195 0.0000629 0.0000176 0.0000015 0.0000001 0.3955985 
  13:38:36.20  6.547156 4 2.187 22.084 16.580 3.071 2.336 5.688 9.090 8.480 5.264 3.157 3.645 5.649 6.583 4.405 2.469 1.960 1.753 1.495 1.552 1.914 2.278 2.446 2.464 2.437 2.418 -0.295 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.416 0.8640734 0.1173213 0.1516251 0.6077271 0.5315396 0.2883963 0.1618627 0.1909145 0.3109299 0.3788317 0.2981706 0.1953933 0.1447027 0.1497945 0.1568213 0.1118741 0.0835888 0.0864796 0.0370666 0.0061170 0.0005176 0.0001181 0.0000445 0.0000063 0.0000002 0.4852704 
  13:38:36.90  2.675152 4 2.478 15.309 11.046 3.148 2.580 4.625 7.042 8.030 6.425 3.766 2.918 3.688 5.049 4.853 2.997 1.560 0.990 1.062 1.605 2.204 2.476 2.492 2.439 2.401 2.389 -0.720 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.392 0.8232980 0.1665119 0.2198046 0.5721478 0.5053626 0.3393187 0.2046504 0.1810100 0.2455668 0.3454772 0.3689355 0.2829954 0.1686407 0.1145907 0.0901240 0.0555215 0.1216129 0.1203171 0.0280308 0.0025710 0.0002173 0.0000902 0.0000300 0.0000032 0.0000001 0.4073043 
