Line  186
      08:36:47.70  3.853314 10 74.439 107.507 143.860 173.125 193.232 202.478 199.604 184.239 157.659 123.448 87.664 57.675 38.582 30.356 30.034 34.749 42.278 50.866 66.235 88.754 0.037 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 56.398 0.2154077 0.1849280 0.0859091 0.0489872 0.0324677 0.0240475 0.0197291 0.0182531 0.0199968 0.0275563 0.0469920 0.0825495 0.1126126 0.0973578 0.0529596 0.0198199 0.0055681 0.0017548 0.0034091 0.0127890 0.0021598 
      08:36:48.30  2.170354 10 68.684 115.071 196.146 268.310 325.747 365.165 383.986 381.110 357.318 315.740 262.340 205.778 155.688 119.123 97.596 87.642 83.700 80.733 66.636 50.785 -0.107 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 92.489 0.2961207 0.2109259 0.0695612 0.0312415 0.0187766 0.0134485 0.0109686 0.0099897 0.0100977 0.0113628 0.0142988 0.0198314 0.0283934 0.0370964 0.0389805 0.0313618 0.0203453 0.0119838 0.0044991 0.0115954 0.0016868 
      08:36:48.89  4.184588 10 78.276 109.932 160.317 205.058 240.583 264.599 275.394 272.301 256.047 228.987 195.106 159.571 127.584 102.777 86.173 76.617 72.151 70.940 64.443 55.882 -0.065 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 92.344 0.2110750 0.1765696 0.0705166 0.0344383 0.0215246 0.0165693 0.0151768 0.0157961 0.0178137 0.0208992 0.0246077 0.0280420 0.0298933 0.0293236 0.0266957 0.0226095 0.0172163 0.0115554 0.0061463 0.0108202 0.0020457 
      08:36:49.50  0.780428 1 69.110 76.933 85.691 96.118 107.351 117.943 126.141 130.351 129.652 124.085 114.605 102.828 90.687 79.932 71.609 65.876 62.259 60.067 55.882 50.413 0.016 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 60.430 0.1830891 0.2107930 0.1401080 0.1010286 0.0791235 0.0682325 0.0647059 0.0662004 0.0704096 0.0739292 0.0723948 0.0634733 0.0506009 0.0405193 0.0350432 0.0294364 0.0204543 0.0107976 0.0041034 0.0128085 0.0037936 
      08:36:50.10  1.114717 10 42.591 60.805 84.052 108.254 130.958 150.189 164.289 170.013 162.066 137.244 99.520 58.872 28.687 16.040 16.498 25.521 37.649 46.418 48.522 42.187 0.090 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 32.499 0.3237853 0.2566997 0.1120002 0.0644658 0.0451528 0.0357361 0.0305908 0.0281385 0.0286159 0.0334872 0.0462633 0.0745023 0.1278270 0.1858051 0.1279644 0.0402257 0.0109748 0.0058067 0.0093527 0.0203869 0.0040906 
      08:36:50.80  1.584750 10 43.456 58.595 71.211 82.822 93.198 101.279 105.168 101.847 89.034 68.448 46.308 29.811 22.389 23.237 30.161 39.642 47.481 51.306 47.269 34.426 0.087 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 27.732 0.3005197 0.2498754 0.1272134 0.0869586 0.0697180 0.0612530 0.0576532 0.0589857 0.0673255 0.0853942 0.1132951 0.1481666 0.1777515 0.1419489 0.0652697 0.0211064 0.0066177 0.0034211 0.0067462 0.0180060 0.0048761 
      08:36:51.39  1.183701 10 33.865 62.068 95.314 113.916 120.477 117.110 105.142 86.258 64.532 45.772 33.952 29.378 30.324 34.747 40.743 46.565 50.485 51.396 44.567 30.906 -0.035 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 29.216 0.4087701 0.2326509 0.0794863 0.0497638 0.0443310 0.0470302 0.0562350 0.0747239 0.1061087 0.1435328 0.1615886 0.1535810 0.1326305 0.0941475 0.0515724 0.0225974 0.0085250 0.0037059 0.0059655 0.0186787 0.0043707 
      08:36:51.89  1.356423 10 29.983 68.300 123.306 149.855 153.063 137.410 108.965 76.471 50.405 37.028 35.682 42.553 52.004 58.311 59.256 56.023 50.634 44.403 32.422 21.190 -0.183 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 37.468 0.4824129 0.2120982 0.0533978 0.0305737 0.0290638 0.0358881 0.0537350 0.0919889 0.1542289 0.1956503 0.1602885 0.1011842 0.0661609 0.0488388 0.0369848 0.0254463 0.0142364 0.0065262 0.0062369 0.0250592 0.0039578 
      08:36:52.60  1.343857 10 30.503 51.196 73.413 85.622 89.851 87.561 79.264 65.608 49.197 34.246 24.217 20.367 22.530 29.926 40.080 48.867 52.790 51.080 37.173 19.604 -0.006 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 24.795 0.4083068 0.2468485 0.0954718 0.0656860 0.0611219 0.0650683 0.0757006 0.0955216 0.1260496 0.1586046 0.1836713 0.2022879 0.1627075 0.0815150 0.0302960 0.0105376 0.0043204 0.0029482 0.0051542 0.0132831 0.0058164 
      08:36:53.20  1.082765 10 27.729 46.105 66.087 75.562 76.584 71.392 62.074 50.738 39.693 30.905 25.459 23.768 25.911 31.320 38.058 43.102 43.968 40.384 28.883 16.902 -0.042 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 24.729 0.4201092 0.2502495 0.0977815 0.0707915 0.0711158 0.0822580 0.1017653 0.1277126 0.1511050 0.1600820 0.1652960 0.1708848 0.1362954 0.0745438 0.0312541 0.0120106 0.0055219 0.0043733 0.0064489 0.0140712 0.0065360 
