Line  11130
 02:10:52.7  4.030635 10 457.220 308.650 206.345 151.287 138.771 165.475 231.890 335.822 468.196 615.708 763.972 896.887 995.699 1043.377 1032.822 970.961 874.501 762.042 649.006 546.361 460.799 395.070 348.669 318.918 213.465 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 313.909 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:53.3  3.220631 10 636.874 373.005 190.698 104.880 107.740 189.183 341.215 543.978 773.446 1007.818 1227.411 1410.587 1533.666 1579.061 1544.711 1444.498 1299.683 1130.568 953.815 783.165 629.966 502.597 405.458 338.459 148.283 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 310.821 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:53.9  3.170299 10 753.347 389.740 151.314 69.332 122.788 293.908 552.218 859.637 1184.375 1501.383 1786.212 2009.244 2141.244 2167.848 2097.091 1951.345 1754.003 1523.850 1276.968 1029.328 797.153 595.589 436.287 324.578 71.798 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 285.415 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:54.5  3.259593 10 460.350 227.182 103.168 85.758 157.559 311.468 526.007 773.509 1030.212 1276.103 1487.444 1634.820 1694.560 1663.149 1557.809 1403.376 1221.150 1027.593 837.161 663.145 516.275 402.722 322.977 272.658 115.787 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 267.586 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:55.1  2.647947 10 525.080 225.157 75.934 79.170 207.853 438.762 732.385 1054.910 1380.214 1684.196 1937.305 2107.342 2174.035 2140.043 2025.163 1851.652 1636.850 1395.462 1143.127 896.931 674.002 489.022 351.028 260.939 54.345 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 249.436 0.0581215 0.1228315 0.3265301 0.2799477 0.0706887 0.0245706 0.0119589 0.0071045 0.0047500 0.0034348 0.0026524 0.0021861 0.0019183 0.0017727 0.0016980 0.0016658 0.0016666 0.0017016 0.0017731 0.0018694 0.0019279 0.0017816 0.0012275 0.0004480 0.0094480 
 02:10:55.7  2.568976 10 490.575 207.250 74.482 87.981 222.055 452.186 740.168 1053.417 1367.353 1660.528 1906.855 2076.080 2146.058 2115.185 2000.907 1826.969 1613.878 1378.366 1136.228 903.366 694.692 521.883 391.100 302.095 77.852 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 275.822 0.0607313 0.1315784 0.3318756 0.2424333 0.0654374 0.0240837 0.0120887 0.0073210 0.0049597 0.0036154 0.0027986 0.0023008 0.0020098 0.0018517 0.0017749 0.0017468 0.0017523 0.0017881 0.0018524 0.0019275 0.0019463 0.0017596 0.0012248 0.0005106 0.0070939 
 02:10:56.3  3.652118 10 289.213 153.756 101.668 122.321 210.734 361.417 557.181 776.862 1002.704 1219.319 1406.809 1538.980 1592.889 1562.400 1461.520 1314.513 1144.353 968.701 801.112 652.028 528.241 432.259 362.867 316.662 162.961 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 304.861 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:56.9  3.280365 10 303.887 155.087 99.071 124.751 224.837 390.352 601.817 837.747 1079.519 1308.802 1502.190 1632.436 1679.412 1641.424 1534.750 1382.626 1205.864 1021.081 842.305 681.299 546.286 440.771 363.869 312.099 145.304 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 297.445 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:57.5  -nan 10 186.760 127.268 121.110 163.798 255.413 391.299 559.732 746.704 937.955 1115.486 1254.935 1331.541 1332.814 1265.700 1150.463 1008.892 858.386 712.627 582.649 475.800 394.447 336.506 297.725 273.738 170.074 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 278.015 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:58.1  -nan 10 149.975 149.786 157.062 173.456 201.491 244.494 305.850 386.956 483.606 582.311 660.832 696.840 681.126 623.800 546.980 471.560 409.396 363.456 331.581 310.015 295.461 285.767 279.661 276.214 249.256 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 280.783 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
