Line  57
 08:08:37.9     5.153839 5 774.479369
 08:08:37.9     2.230731 5 19207.254 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 18273.203 16236.417 14176.585 12031.670 9752.982 7327.897 5481.847 3270.286 905.966 0.536 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 774.479 0.0079063 0.0105923 0.0104117 0.0109499 0.0113902 0.0117181 0.0119244 0.0120061 0.0120042 0.0124217 0.0141760 0.0167524 0.0199656 0.0242025 0.0303246 0.0403007 0.0558559 0.0818123 0.1433913 0.6789029 0.0011092 
 08:08:38.5     6.123367 5 629.838719
 08:08:38.5     2.172313 5 19637.337 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 19803.076 17753.909 15765.981 13769.230 11648.253 9345.698 6931.753 5546.474 3707.058 799.718 0.662 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 629.839 0.0073121 0.0102475 0.0102892 0.0108725 0.0113681 0.0117606 0.0120388 0.0121972 0.0122650 0.0127667 0.0147131 0.0174751 0.0207887 0.0250754 0.0313661 0.0418842 0.0565287 0.0715333 0.1218968 0.6865729 0.0012491 
 08:08:39.1     4.634884 5 802.779675
 08:08:39.1     2.250049 5 18474.014 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 19798.753 17775.555 15747.869 13694.811 11573.165 9355.520 7029.432 5329.937 3160.985 813.773 0.531 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 802.780 0.0075404 0.0097051 0.0094165 0.0099516 0.0104056 0.0107640 0.0110161 0.0111565 0.0113509 0.0122335 0.0142225 0.0169634 0.0204328 0.0250339 0.0316196 0.0420918 0.0576324 0.0819523 0.1399050 0.6721821 0.0011797 
 08:08:39.7     5.933468 5 615.205409
 08:08:39.7     1.762583 5 19156.277 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 18806.293 17057.622 15328.149 13439.231 11235.069 8635.392 7285.104 4960.460 812.758 0.721 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 615.205 0.0075533 0.0105084 0.0105527 0.0111989 0.0117611 0.0122204 0.0125617 0.0127738 0.0128503 0.0131100 0.0144010 0.0165426 0.0189981 0.0218203 0.0256966 0.0322568 0.0410706 0.0499698 0.1010851 0.6555760 0.0016362 
 08:08:40.3     6.790393 5 551.674962
 08:08:40.3     2.090793 5 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 20000.000 18944.196 17282.188 15277.226 12712.183 9552.011 8295.660 5895.179 639.692 0.909 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 551.675 0.0062511 0.0088646 0.0088884 0.0093012 0.0096082 0.0097914 0.0098374 0.0097384 0.0098722 0.0111719 0.0132452 0.0153882 0.0173109 0.0193325 0.0228414 0.0305415 0.0410439 0.0472998 0.0674183 0.5769508 0.0024549 
